date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:10	37120/37120	---M--	200	added ('OK')	image/jpeg	etag:%22832c14b6a229658320684f81377f567d%22	https://d3hne3c382ip58.cloudfront.net/resized/750x420/10-day-everest-base-camp-trek-with-chopper-return-tour-2-506400_1587012233.JPG	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resized/750x420/10-day-everest-base-camp-trek-with-chopper-return-tour-2-506400_1587012233.jpg	(from https://www.bookmundi.com/kathmandu/10-day-everest-base-camp-trek-with-chopper-return-8079)
18:06:11	2541/2541	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20May%202018%2005:16:00%20GMT	https://www.bookmundi.com/files/resized/72x72/2424d7f2d9eaa358d8fe14b11280f7c7_1525323575.JPG	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/files/resized/72x72/2424d7f2d9eaa358d8fe14b11280f7c7_1525323575.jpg	(from https://www.bookmundi.com/kathmandu/poonhill-trek-59)
18:06:12	40653/40653	---M--	200	added ('OK')	image/jpeg	etag:%22fa37a4397b444e5cc8ed0bd1e395804a%22	https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trek-tour-2-965_1580102382.JPG	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trek-tour-2-965_1580102382.jpg	(from https://www.bookmundi.com/kathmandu/poonhill-trek-59)
18:06:13	2792/2792	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20May%202018%2005:24:15%20GMT	https://www.bookmundi.com/files/resized/72x72/a2648775ea871c37efea8bc108dead4a_1525323641.JPG	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/files/resized/72x72/a2648775ea871c37efea8bc108dead4a_1525323641.jpg	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:13	61559/61559	---M--	200	added ('OK')	image/jpeg	etag:%22a038fe1f4cd6f44ebad4e71dee28b1ab%22	https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-trek-5-days-tour-2-474426_1582694468.JPEG	C:/Users/thinkpad/Desktop/xyz/d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-trek-5-days-tour-2-474426_1582694468.jpg	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:15	387731/387731	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:12%20GMT	https://www.bookmundi.com/kathmandu/langtang-valley-view-trekking-3232	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/langtang-valley-view-trekking-3232.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:17	407315/407315	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:14%20GMT	https://www.bookmundi.com/kathmandu/annapurna-base-camp-trek-9-days-6117	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/annapurna-base-camp-trek-9-days-6117.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:20	387633/387633	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:16%20GMT	https://www.bookmundi.com/kathmandu/poonhill-tea-house-trek-7-days-3996	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/poonhill-tea-house-trek-7-days-3996.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:21	379182/379182	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:17%20GMT	https://www.bookmundi.com/kathmandu/poon-hill-trek-4-days-3-nights-10798	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/poon-hill-trek-4-days-3-nights-10798.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:24	387726/387726	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:21%20GMT	https://www.bookmundi.com/kathmandu/manaslu-circuit-trek-14-days-12692	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/manaslu-circuit-trek-14-days-12692.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:29	400677/400677	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:23%20GMT	https://www.bookmundi.com/kathmandu/everest-panorama-view-trek-6-days-5475	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-panorama-view-trek-6-days-5475.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
18:06:34	389380/389380	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2012:06:25%20GMT	https://www.bookmundi.com/kathmandu/everest-base-camp-trekking-12-days-4119	C:/Users/thinkpad/Desktop/xyz/www.bookmundi.com/kathmandu/everest-base-camp-trekking-12-days-4119.html	(from https://www.bookmundi.com/kathmandu/ghorepani-poon-hill-trek-5-days-3230)
